MY 2026 THRU-HIKE PACK LIST,,,,,
group,gear,count,wt,notes,status
Big Three,Backpack,1,25 oz,main pack,carried
Big Three,Tent,1,1 lb 10 oz,trekking pole shelter,carried
Sleep,Quilt,1,23.5oz,20 degree,carried
Cook Kit,Stove,1,0.9 oz,canister stove,carried
Cook Kit,Fuel,2,3.9 oz each,small fuel canisters,consumable
Bits,Toothbrush,1,0.6 oz,,carried
Bits,Toothpaste,1,,travel size; weight intentionally blank,consumable
Bits,Leukotape,1,1.2 oz,first aid,carried
Clothes,Socks,2,1.8 oz,spare pairs,carried
Wear,Sun Hat,1,2.1 oz,,worn
,,,,,
TOTAL,,,,,
