Category,Description,Quantity,Weight,Unit,Worn,Expendable,Type,Selected,Source Add
Backpack,ULA Ultra Circuit,1,40.8,oz,false,false,Backpack,false,0.0
Backpack,Zpacks Nero Classic Backpack,1,14.0,oz,false,false,Backpack,true,14.0
Backpack,Durston Wapta 30,1,18.3,oz,false,false,Backpack,false,0.0
Backpack,18G Compactor Bag,1,1.7,oz,false,false,Pack Liner,false,0.0
Shelter,Zpacks Free-Zip 2 with poles / repair kit,1,36.8,oz,false,false,Tent,false,0.0
Shelter,Zpacks Nylo Pro Groundsheet 5' x 8’,1,4.0,oz,false,false,Ground Sheet,true,4.0
Shelter,Easton Nano,4,0.6,oz,false,false,Tent Stake,false,0.0
Shelter,DIY Carbon Fiber 3mm Tent Stakes,6,0.1,oz,false,false,Tent Stake,true,0.6
Shelter,Hilltop Tent Stake Bag,1,0.31,oz,false,false,Stake bag,false,0.0
Shelter,Zpacks carbon tent poles with repair kit,1,16.0,oz,false,false,Tent Pole,false,0.0
Shelter,Zpacks 8.5' x 10' Flat Tarp,1,6.4,oz,false,false,Tarp,false,0.0
Shelter,Gear Swifts DCF Ponch/Tarp,1,4.8,oz,false,false,Tarp,false,0.0
Shelter,Six Moons Ponch/Tarp,1,11.0,oz,false,false,Tarp,false,0.0
Shelter,Ounce Design Adobi DCF Tarp,1,5.8,oz,false,false,Tarp,true,5.8
Sleep,UGQ Bandit 10F,1,26.0,oz,false,false,Sleeping Bag,false,0.0
Sleep,Enlightened Equipment 30F,1,17.7,oz,false,false,Sleeping Bag,false,0.0
Sleep,Emergency Sleeping Bag Thermal Bivvy,1,5.0,oz,false,false,Sleeping Bag,true,5.0
Sleep,Paria Elevate S insulated sleeping pad,1,10.0,oz,false,false,Inflatable Pad,false,0.0
Sleep,Nemo Switchback Short,1,10.5,oz,false,false,Foam Pad,false,0.0
Sleep,Nemo Switchback cut to 1/2,1,8.0,oz,false,false,Foam Pad,true,8.0
Clothing Packed,Enlightened Torid Jacket,1,10.2,oz,false,false,Puffy Jacket,true,10.2
Clothing Packed,Timmermade SDUL .75 Down Sweater,1,3.6,oz,false,false,Puffy Jacket,false,0.0
Clothing Packed,Timmermade SUL Down Pants,1,5.5,oz,false,false,Puffy Pants,false,0.0
Clothing Packed,Zpacks Octa Fleece Hoody,1,5.3,oz,false,false,Midlayer,true,5.3
Clothing Packed,Outdoor Vitals Nebo Windbreaker,1,4.8,oz,false,false,Windbreaker,true,4.8
